(Input Var1)Condenser_Specification_Value,(Input Var2)Temperature (K),(Output Var1)Distillate - Molar Fraction (Liquid 1) / Benzene (),(Output Var2)QC - Energy Flow (kW),(Output Var3)QR - Energy Flow (kW),(Output Var4)Bottoms - Molar Fraction (Liquid 1) / Benzene (),(Input Var3)Feed - Molar Fraction (Vapor) (),(Input Var4)Stage_Temperature_1 (K),(Input Var5) Stage_Temperature_20 (K)
1.81034,347.241,1,463.746,540.531,0.013278,0,353.317,363.415
1.81034,350.759,1,463.746,534.05,0.0133434,0,353.317,363.537
1.81034,354.276,1,463.746,527.522,0.0133527,0,353.317,363.662
1.81034,357.793,1,463.746,520.94,0.013358,0,353.317,363.792
1.81034,361.31,1,463.746,514.313,0.0132906,0,353.317,363.922
1.81034,364.828,1,463.746,507.625,0.0132791,0,353.317,364.06
1.81034,368.345,1,463.746,500.883,0.0132633,0,353.317,364.201
1.81034,371.862,1,463.746,494.072,0.0133604,0,353.317,364.352
1.81034,375.379,1,463.746,427.54,0.0133584,0.174676,353.317,366.032
1.81034,378.897,1,463.746,427.54,0.0133584,0.324689,353.317,366.032
1.81034,382.414,1,463.746,427.54,0.0133584,0.463553,353.317,366.032
1.81034,385.931,1,463.746,427.54,0.0133584,0.604735,353.317,366.032
1.81034,389.448,1,463.746,427.54,0.0133584,0.762021,353.317,366.032
1.81034,392.966,1,463.746,427.54,0.0133584,0.954088,353.317,366.032
1.81034,396.483,1,463.746,427.54,0.0133584,1,353.317,366.032
1.81034,400,1,463.746,427.54,0.0133584,1,353.317,366.032
1.96552,298,1,489.352,651.265,0.0133021,0,353.317,361.713
1.96552,301.517,1,489.352,645.517,0.0133096,0,353.317,361.787
1.96552,305.034,1,489.352,639.718,0.0133119,0,353.317,361.864
1.96552,308.552,1,489.352,633.869,0.0133227,0,353.317,361.942
1.96552,312.069,1,489.352,627.969,0.0133244,0,353.317,362.023
1.96552,315.586,1,489.352,622.017,0.0133394,0,353.317,362.106
1.96552,319.103,1,489.352,616.026,0.0132509,0,353.317,362.189
1.96552,322.621,1,489.352,609.974,0.0132447,0,353.317,362.277
1.96552,326.138,1,489.352,603.87,0.0132407,0,353.317,362.366
1.96552,329.655,1,489.352,597.714,0.0132315,0,353.317,362.459
1.96552,333.172,1,489.352,591.506,0.0132287,0,353.317,362.553
1.96552,336.69,1,489.352,585.246,0.0132155,0,353.317,362.651
1.96552,340.207,1,489.352,578.923,0.013293,0,353.317,362.754
1.96552,343.724,1,489.352,572.555,0.0132965,0,353.317,362.858
1.96552,347.241,1,489.352,566.134,0.0133051,0,353.317,362.965
1.96552,350.759,1,489.352,559.66,0.0133163,0,353.317,363.076
1.96552,354.276,1,489.352,553.14,0.0132423,0,353.317,363.189
1.96552,357.793,1,489.352,546.561,0.0132368,0,353.317,363.306
1.96552,361.31,1,489.352,539.927,0.0132259,0,353.317,363.427
1.96552,364.828,1,489.352,533.239,0.0132115,0,353.317,363.551
1.96552,368.345,1,489.352,526.485,0.0132991,0,353.317,363.683
1.96552,371.862,1,489.352,519.685,0.013302,0,353.317,363.818
1.96552,375.379,1,489.352,453.155,0.0132824,0.174676,353.317,365.327
1.96552,378.897,1,489.352,453.155,0.0132824,0.324689,353.317,365.327
1.96552,382.414,1,489.352,453.155,0.0132824,0.463553,353.317,365.327
1.96552,385.931,1,489.352,453.155,0.0132824,0.604735,353.317,365.327
1.96552,389.448,1,489.352,453.155,0.0132824,0.762021,353.317,365.327
1.96552,392.966,1,489.352,134.004,0.0133304,0.954088,353.317,389.2
1.96552,396.483,1,489.352,110.686,0.0133805,1,353.317,394.184
1.96552,400,1,489.352,110.686,0.0133805,1,353.317,394.184
2.12069,298,1,514.957,676.873,0.0132866,0,353.317,361.395
2.12069,301.517,1,514.957,671.125,0.0132898,0,353.317,361.465
2.12069,305.034,1,514.957,665.327,0.0132931,0,353.317,361.535
2.12069,308.552,1,514.957,659.478,0.0132964,0,353.317,361.608
2.12069,312.069,1,514.957,653.578,0.0132987,0,353.317,361.683
2.12069,315.586,1,514.957,647.628,0.0133056,0,353.317,361.759
2.12069,319.103,1,514.957,641.625,0.0133077,0,353.317,361.838
2.12069,322.621,1,514.957,635.571,0.0133176,0,353.317,361.919
2.12069,326.138,1,514.957,629.466,0.0133183,0,353.317,362.003
2.12069,329.655,1,514.957,623.307,0.013332,0,353.317,362.088
2.12069,333.172,1,514.957,617.108,0.0132492,0,353.317,362.174
2.12069,336.69,1,514.957,610.848,0.0132445,0,353.317,362.264
2.12069,340.207,1,514.957,604.534,0.013237,0,353.317,362.357
2.12069,343.724,1,514.957,598.168,0.013233,0,353.317,362.452
2.12069,347.241,1,514.957,591.749,0.0132222,0,353.317,362.55
2.12069,350.759,1,514.957,585.269,0.013286,0,353.317,362.652
2.12069,354.276,1,514.957,578.741,0.0132897,0,353.317,362.757
2.12069,357.793,1,514.957,572.159,0.0132964,0,353.317,362.864
2.12069,361.31,1,514.957,565.524,0.0133054,0,353.317,362.975
2.12069,364.828,1,514.957,558.833,0.0133074,0,353.317,363.091
2.12069,368.345,1,514.957,552.097,0.013239,0,353.317,363.207
2.12069,371.862,1,514.957,545.299,0.0132324,0,353.317,363.328
2.12069,375.379,1,514.957,478.76,0.0132988,0.174676,353.317,364.699
2.12069,378.897,1,514.957,478.76,0.0132988,0.324689,353.317,364.699
2.12069,382.414,1,514.957,478.76,0.0132988,0.463553,353.317,364.699
2.12069,385.931,1,514.957,478.76,0.0132988,0.604735,353.317,364.699
2.12069,389.448,1,514.957,478.76,0.0132988,0.762021,353.317,364.699
2.12069,392.966,1,514.957,478.76,0.0132988,0.954088,353.317,364.699
2.12069,396.483,1,514.957,136.302,0.0132857,1,353.317,388.756
2.12069,400,1,514.957,130.937,0.0132892,1,353.317,389.817
2.27586,298,1,540.563,702.485,0.0132329,0,353.317,361.101
2.27586,301.517,1,540.563,696.738,0.0132215,0,353.317,361.165
2.27586,305.034,1,540.563,690.942,0.0132206,0,353.317,361.23
2.27586,308.552,1,540.563,685.086,0.0132809,0,353.317,361.299
2.27586,312.069,1,540.563,679.186,0.0132842,0,353.317,361.368
2.27586,315.586,1,540.563,673.236,0.0132869,0,353.317,361.439
2.27586,319.103,1,540.563,667.234,0.0132901,0,353.317,361.512
2.27586,322.621,1,540.563,661.18,0.0132929,0,353.317,361.587
2.27586,326.138,1,540.563,655.075,0.0132983,0,353.317,361.664
2.27586,329.655,1,540.563,648.917,0.0133011,0,353.317,361.743
2.27586,333.172,1,540.563,642.708,0.013309,0,353.317,361.824
2.27586,336.69,1,540.563,636.445,0.0133107,0,353.317,361.908
2.27586,340.207,1,540.563,630.13,0.0133219,0,353.317,361.993
2.27586,343.724,1,540.563,623.771,0.0132525,0,353.317,362.08
2.27586,347.241,1,540.563,617.352,0.013248,0,353.317,362.171
2.27586,350.759,1,540.563,610.879,0.0132419,0,353.317,362.264
2.27586,354.276,1,540.563,604.353,0.013238,0,353.317,362.359
2.27586,357.793,1,540.563,597.773,0.0132291,0,353.317,362.458
2.27586,361.31,1,540.563,591.139,0.013218,0,353.317,362.559
2.27586,364.828,1,540.563,584.443,0.0132846,0,353.317,362.665
2.27586,368.345,1,540.563,577.698,0.0132887,0,353.317,362.774
2.27586,371.862,1,540.563,570.898,0.0132958,0,353.317,362.885
2.27586,375.379,1,540.563,504.375,0.0132154,0.174676,353.317,364.129
2.27586,378.897,1,540.563,445.351,0.0132185,0.324689,353.317,365.534
2.27586,382.414,1,540.563,445.351,0.0132185,0.463553,353.317,365.534
2.27586,385.931,1,540.563,445.351,0.0132185,0.604735,353.317,365.534
2.27586,389.448,1,540.563,445.351,0.0132185,0.762021,353.317,365.534
2.27586,392.966,1,540.563,445.351,0.0132185,0.954088,353.317,365.534
2.27586,396.483,1,540.563,445.351,0.0132185,1,353.317,365.534
2.27586,400,1,540.563,156.538,0.0133271,1,353.317,385.153
2.43103,298,1,566.168,728.105,0.0131141,0,353.317,360.83
2.43103,301.517,1,566.168,722.358,0.0131107,0,353.317,360.889
2.43103,305.034,1,566.168,716.561,0.0131056,0,353.317,360.95
2.43103,308.552,1,566.168,710.696,0.0132358,0,353.317,361.012
2.43103,312.069,1,566.168,704.798,0.0132336,0,353.317,361.076
2.43103,315.586,1,566.168,698.848,0.0132273,0,353.317,361.141
2.43103,319.103,1,566.168,692.848,0.0132145,0,353.317,361.209
2.43103,322.621,1,566.168,686.788,0.0132787,0,353.317,361.279
2.43103,326.138,1,566.168,680.683,0.0132818,0,353.317,361.35
2.43103,329.655,1,566.168,674.525,0.0132846,0,353.317,361.424
2.43103,333.172,1,566.168,668.316,0.0132876,0,353.317,361.499
2.43103,336.69,1,566.168,662.054,0.0132916,0,353.317,361.576
2.43103,340.207,1,566.168,655.739,0.0132947,0,353.317,361.655
2.43103,343.724,1,566.168,649.372,0.013301,0,353.317,361.737
2.43103,347.241,1,566.168,642.951,0.0133017,0,353.317,361.821
2.43103,350.759,1,566.168,636.476,0.0133107,0,353.317,361.907
2.43103,354.276,1,566.168,629.948,0.0133224,0,353.317,361.996
2.43103,357.793,1,566.168,623.375,0.0132507,0,353.317,362.086
2.43103,361.31,1,566.168,616.741,0.0132456,0,353.317,362.179
2.43103,364.828,1,566.168,610.052,0.0132393,0,353.317,362.276
2.43103,368.345,1,566.168,603.309,0.0132354,0,353.317,362.375
2.43103,371.862,1,566.168,596.511,0.0132263,0,353.317,362.477
2.43103,375.379,1,566.168,529.972,0.0132878,0.174676,353.317,363.615
2.43103,378.897,1,566.168,470.957,0.0132118,0.324689,353.317,364.883
2.43103,382.414,1,566.168,470.957,0.0132118,0.463553,353.317,364.883
2.43103,385.931,1,566.168,470.957,0.0132118,0.604735,353.317,364.883
2.43103,389.448,1,566.168,470.957,0.0132118,0.762021,353.317,364.883
2.43103,392.966,1,566.168,470.957,0.0132118,0.954088,353.317,364.883
2.43103,396.483,1,566.168,470.957,0.0132118,1,353.317,364.883
2.43103,400,1,566.168,470.957,0.0132118,1,353.317,364.883
2.58621,298,1,591.774,753.709,0.0131257,0,353.317,360.575
2.58621,301.517,1,591.774,747.962,0.0131225,0,353.317,360.631
2.58621,305.034,1,591.774,742.165,0.0131191,0,353.317,360.688
2.58621,308.552,1,591.774,736.317,0.0131147,0,353.317,360.746
2.58621,312.069,1,591.774,730.419,0.0131107,0,353.317,360.806
2.58621,315.586,1,591.774,724.469,0.0131058,0,353.317,360.868
2.58621,319.103,1,591.774,718.469,0.0131022,0,353.317,360.93
2.58621,322.621,1,591.774,712.416,0.0130939,0,353.317,360.995
2.58621,326.138,1,591.774,706.312,0.0130902,0,353.317,361.061
2.58621,329.655,1,591.774,700.157,0.0130831,0,353.317,361.129
2.58621,333.172,1,591.774,693.949,0.0130703,0,353.317,361.198
2.58621,336.69,1,591.774,687.689,0.0130674,0,353.317,361.269
2.58621,340.207,1,591.774,681.376,0.0130508,0,353.317,361.343
2.58621,343.724,1,591.774,675,0.0131318,0,353.317,361.42
2.58621,347.241,1,591.774,668.579,0.0131342,0,353.317,361.497
2.58621,350.759,1,591.774,662.106,0.013137,0,353.317,361.577
2.58621,354.276,1,591.774,655.578,0.0131398,0,353.317,361.659
2.58621,357.793,1,591.774,648.976,0.013297,0,353.317,361.742
